Payment Plan Name,Deposit to Price Ratio,Daily rate,LLR,Deposit,Product Price
MK Phone Nokia C21 2/32 Conv MTN v8,0.185,2100,0.2242,174000,940500
MK Phone Nokia C21 2/32 Red-Con MTN v8,0.185,2100,0.2283,174000,940500
MK Phone Nokia C21 Plus 3/32 Red-Con MTN v5,0.185,2100,0.1615,174000,940500
MK Phone Nokia C21 2/32 Conv v13,0.1836,2120,0.0346,174000,947800
MK Phone Nokia C21 2/32 Red-Con v13,0.1836,2120,0.205,174000,947800
MK Phone Samsung A12 Staff MTN v1,0.1717,2300,0.0031,174000,1013500
MK Phone Samsung A12 MTN v4,0.1462,2800,0.2234,175000,1197000
MK Phone Nokia C21 Plus 3/32 Red-Con MTN v15,0.1985,1980,0.165,179000,901700
MK Phone Nokia 3.4 4/64 GB Staff v8,0.1893,2100,0.1522,179000,945500
MK Phone Nokia C30 2/32 Conv MTN v19,0.1893,2100,0.2159,179000,945500
MK Phone Nokia C30 2/32 Red-Con MTN v19,0.1893,2100,0.1854,179000,945500
MK Phone Nokia C21 Plus 3/32 Red-Con v6,0.1857,2150,0.2051,179000,963750
MK Phone Nokia C30 2/32 Red-Con MTN v12,0.1857,2150,0.1849,179000,963750
MK Phone Nokia C21 2/32 Conv v9,0.179,2250,0.6136,179000,1000250
MK Phone Nokia C21 2/32 Red-Con v9,0.179,2250,0.2191,179000,1000250
MK Phone Samsung A03s 3/32 Red-Con MTN v4,0.164,2500,0.2497,179000,1091500
MK Phone Samsung A03s MTN v1,0.164,2500,0.262,179000,1091500
MK Phone Samsung A03s MTN v3,0.164,2500,0.2068,179000,1091500
MK Phone Nokia 3.4  Red-Con v1,0.1587,2600,0.2194,179000,1128000
MK Phone Nokia 3.4 MTN v2,0.1587,2600,0.1978,179000,1128000
MK Phone Nokia 3.4 Red-Con MTN v3,0.1587,2600,0.1646,179000,1128000
MK Phone Samsung A03s 4/64 MTN v2,0.1537,2700,0.3883,179000,1164500
MK Phone Samsung A03s 4/64 MTN v4,0.1537,2700,0.3061,179000,1164500
MK Phone Samsung A03s 4/64 Red-Con MTN v5,0.1537,2700,0.2522,179000,1164500
MK Phone Samsung A03s 4/64 MTN v6,0.1513,2750,0.1836,179000,1182750
MK Phone Samsung A03s 4/64 Red-Con MTN v7,0.1513,2750,0.2584,179000,1182750
"StarTimes SAT 24 Months Subscription v9 with TV, CAM & SMART (+TV customers)",0.1127,2600,0.8178,180000,1597000
"StarTimes SAT 24 Months Subscription v8 with TV, CAM & SMART",0.1235,3500,0.5423,180000,1457500
MK Phone Tecno Pop 5 LTE 2/32 v1,0.2001,2650,0.2184,181000,904450
MK Phone Samsung A03s 3/32 MTN v18,0.1782,2300,0.2282,182000,1021500
MK Phone Samsung A03s 3/32 Red-Con MTN v18,0.1782,2300,0.2042,182000,1021500
MK Phone Nokia C21 Plus 3/32 Red-Con v16,0.1951,2080,0.1913,184000,943200
MK Phone Nokia C30 2/32 Conv v20,0.1864,2200,0.1516,184000,987000
MK Phone Nokia C30 2/32 Red-Con v20,0.1864,2200,0.1963,184000,987000
MK Phone Samsung A03 3/32 MTN v16,0.1811,2280,0.2098,184000,1016200
MK Phone Samsung A03 3/32 Red-Con MTN v16,0.1811,2280,0.1896,184000,1016200
MK Phone Samsung A12 MTN v11,0.1503,2850,0.264,184000,1224250
MK Phone Samsung A12 Red-Con MTN v11,0.1503,2850,0.2666,184000,1224250
MK Phone Samsung A12 Red-Con v10,0.1503,2850,0.2428,184000,1224250
MK Phone Nokia C31 4/64GB Red-Con v2,0.2106,1900,0.1466,185000,878500
MK Phone Samsung A03s 3/32 Red-Con v19,0.1759,2400,0.0262,187000,1063000
MK Phone Nokia C21 Plus 3/32 Red-Con MTN v13,0.1919,2180,0.1797,189000,984700
MK Phone Nokia C30 2/32 Red-Con v11,0.1838,2300,0.2458,189000,1028500
MK Phone Samsung A03 3/32 MTN v11,0.1806,2350,0.3122,189000,1046750
MK Phone Samsung A03 3/32 Red-Con MTN v10,0.1806,2350,0.2055,189000,1046750
MK Phone Samsung A03 4/64 MTN v9,0.1806,2350,0.2974,189000,1046750
MK Phone Samsung A03 4/64 Red-Con MTN v8,0.1806,2350,0.1804,189000,1046750
MK Phone Nokia G21 4/64 Red-Con MTN v2,0.1609,2700,0.1675,189000,1174500
MK Phone Samsung A12 MTN v9,0.1472,3000,0.2518,189000,1284000
MK Phone Nokia C30 2/32 Conv MTN v17,0.1925,2230,0.126,194000,1007950
MK Phone Nokia C30 2/32 Red-Con MTN v17,0.1925,2230,0.2024,194000,1007950
MK Phone Nokia C21 Plus 3/32 Red-Con MTN v9,0.1813,2400,0.18,194000,1070000
MK Phone Samsung A03 3/32 Red-Con v12,0.1753,2500,0.0276,194000,1106500
MK Phone Nokia 3.4 v5,0.1549,2900,0.1917,194000,1252500
MK Phone Nokia C31 4/64 Red-Con MTN v11,0.2101,2050,0.1557,199000,947250
MK Phone Nokia C21 Plus 3/32 Red-Con v14,0.1916,2300,0.1784,199000,1038500
MK Phone Nokia C30 2/32 Conv MTN v13,0.182,2450,0.2042,199000,1093250
MK Phone Nokia C30 2/32 Red-Con MTN v13,0.182,2450,0.1995,199000,1093250
MK Phone Samsung A03s 3/32 Red-Con MTN v6,0.179,2500,0.2445,199000,1111500
MK +Phone Samsung A13 4/64 MTN v7,0.1463,2700,0.4248,199000,1360000
MK +Phone Samsung A13 4/64 Red-Con MTN v6,0.1463,2700,0.1471,199000,1360000
MK Phone Samsung A03s 4/64 Red-Con MTN v10,0.1655,2750,0.2604,199000,1202750
MK Phone Nokia 3.4 v6,0.163,2800,0.178,199000,1221000
MK Phone Nokia G21 4/64 Red-Con v3,0.1606,2850,0.189,199000,1239250
MK Phone Samsung A12 v2,0.1583,2900,0.0512,199000,1257500
MK Phone Samsung A13 4/64 Red-Con MTN v6 Staff,0.1924,2300,0.091,200000,1039500
MK Phone Nokia C31 4/64 Red-Con Airtel v13,0.2102,2100,0.1679,204000,970500
MK Phone Nokia C30 2/32 Red-Con v18,0.1928,2340,0.2392,204000,1058100
MK Phone Nokia C21 Plus 3/32 Red-Con v10,0.1798,2550,0.2051,204000,1134750
MK +Phone Samsung A13 4/64 Red-Con v21 CSTR2,0.1435,2900,0.1519,204000,1422000
MK Phone Nokia C31 4/64 Red-Con MTN v5,0.2142,2100,0.1652,209000,975500
MK Phone Samsung A03s 3/32 MTN v16,0.1894,2450,0.2579,209000,1103250
MK Phone Samsung A03s 3/32 Red-Con MTN v16,0.1894,2450,0.2356,209000,1103250
MK Phone Nokia C30 2/32 Conv v14,0.1805,2600,0.3465,209000,1158000
MK Phone Nokia C30 2/32 Red-Con v14,0.1805,2600,0.2081,209000,1158000
MK Phone Nokia G21 4/64 Red-Con MTN v6,0.175,2700,0.1638,209000,1194500
MK Phone Nokia C31 4/64 Red-Con Airtel v7,0.2143,2150,0.1355,214000,998750
MK Phone Samsung A03 4/64 MTN v16,0.1869,2550,0.2084,214000,1144750
MK Phone Samsung A03 4/64 Red-Con MTN v16,0.1869,2550,0.2175,214000,1144750
MK Phone Samsung A03s 3/32 MTN v11,0.1812,2650,0.2053,214000,1181250
MK Phone Samsung A03s 3/32 Red-Con MTN v10,0.1812,2650,0.2106,214000,1181250
MK Phone Nokia C31 4/64 Red-Con v6,0.2112,2200,0.179,215000,1018000
MK Phone Samsung A13 4/64 Red-Con MTN F&F v1,0.1738,2800,0.4916,215000,1237000
MK Phone Samsung A13 4/64 MTN v3,0.1555,3200,0.2169,215000,1383000
MK Phone Samsung A13 4/64 Red-Con MTN v2,0.1555,3200,0.2385,215000,1383000
MK Phone Samsung A21 MTN v4,0.1555,3200,0.2109,215000,1383000
MK Phone Samsung A03s 3/32 Red-Con MTN v8,0.2069,2300,0.1944,219000,1058500
MK Phone Samsung A03 4/64 MTN v11,0.1846,2650,0.1749,219000,1186250
MK Phone Samsung A03 4/64 Red-Con MTN v10,0.1846,2650,0.2009,219000,1186250
MK Phone Samsung A03s 4/64 MTN v13,0.1846,2650,0.44,219000,1186250
MK Phone Samsung A03s 4/64 Red-Con MTN v12,0.1846,2650,0.219,219000,1186250
MK Phone Nokia G21 4/64 Red-Con v7,0.1739,2850,0.1341,219000,1259250
MK Phone Samsung A22 4/64 Staff MTN v2,0.1771,2800,0.0033,220000,1242000
MK Phone Samsung A03s 3/32 Red-Con v12,0.1798,2800,0.2894,224000,1246000
MK Phone Samsung A13 4/64 MTN v5,0.1609,3200,0.2216,224000,1392000
MK Phone Samsung A13 4/64 Red-Con MTN v4,0.1609,3200,0.2403,224000,1392000
MK Phone Samsung A03s 4/64 MTN v22,0.1923,2600,0.2599,226000,1175000
MK Phone Samsung A03s 4/64 Red-Con MTN v22,0.1923,2600,0.2368,226000,1175000
MK +Phone Samsung A23 4/64 MTN v7,0.1508,3000,0.2497,229000,1519000
MK +Phone Samsung A23 4/64 Red-Con MTN v6,0.1508,3000,0.0559,229000,1519000
MK Phone Samsung A03s 4/64 MTN v20,0.1863,2800,0.2513,234000,1256000
MK Phone Samsung A03s 4/64 Red-Con MTN v20,0.1863,2800,0.2512,234000,1256000
MK Phone Samsung A22 4/64 Staff MTN v1,0.2115,2400,0.0034,235000,1111000
MK Phone Nokia G21 4/64 Red-Con MTN v21,0.2016,2550,0.1663,235000,1165750
MK Phone Samsung A14 4/64 MTN F&F v1,0.2129,2400,0.4507,237000,1113000
MK Phone Nokia G21 4/64 Conv MTN v18,0.2012,2600,0.2316,239000,1188000
MK Phone Nokia G21 4/64 Red-Con MTN v18,0.2012,2600,0.1066,239000,1188000
MK Phone Nokia G21 4/64 Conv MTN v12,0.1842,2900,0.2095,239000,1297500
MK Phone Nokia G21 4/64 Red-Con MTN v12,0.1842,2900,0.1835,239000,1297500
