,Payment Plan,Cost per Credit,Deposit,Loan Duration,Product Price,Product Price Weighted Llr 200,Quality of Sales
63,MK Phone Samsung A13 4/64 v11 ST Pilot,90,"5,499",365,"38,349",0.14667337025523372,0.937
64,MK Phone Samsung A13 4/64 v11 Promo,100,"6,999",365,"43,499",0.15242065899324184,0.919
65,MK Phone Samsung A13 4/64 v10,100,"7,499",365,"43,999",0.15455047769876673,0.909
66,MK Phone Samsung A12S v2,65,"4,999",365,"28,724",0.10151786924961352,0.961
67,MK Phone Samsung A12 v9,70,"4,999",365,"30,549",0.12191983019080065,0.955
68,MK Phone Samsung A12 v4,70,"5,499",365,"31,049",0.11067807710408535,0.961
69,MK Phone Samsung A12 Saf-Data v2,70,"4,499",365,"30,049",0.1360527382907059,0.940
70,MK Phone Samsung A12 Saf-Data v1,70,"4,999",365,"30,549",0.12668900030152516,0.924
71,MK Phone Samsung A12 Saf-Data 6-M v1,130,"4,499",180,"27,899",0.13846744939913677,0.869
72,MK Phone Samsung A11 v3,60,"4,499",365,"26,399",0.10141694059565992,0.963
73,MK Phone Samsung A11 v1,60,"4,999",365,"26,899",0.23785085043904924,0.984
74,MK Phone Samsung A11 Saf-Data v1,60,"4,499",365,"26,399",0.12397022021389914,0.935
75,MK Phone Samsung A11 Dual sim v4,60,"4,499",365,"26,399",0.09462844419646736,0.959
76,MK Phone Samsung A10S v3,60,"3,499",365,"25,399",0.14196398205944138,0.958
77,MK Phone Samsung A10S v19,60,"4,499",365,"26,399",0.11148868079289721,0.958
78,MK Phone Samsung A10S v18,60,"4,999",365,"26,899",0.18587196550057622,0.936
79,MK Phone Samsung A10S v15,60,"4,499",365,"26,399",0.16740861396265008,0.962
80,MK Phone Samsung A10S v13,50,"5,999",365,"24,249",0,1.000
81,MK Phone Samsung A10S v12,60,"4,499",374,"26,899",0,1.000
82,MK Phone Samsung A10S v1 Rev A,60,"1,000",130,"8,800",0.036918181818181815,0.934
83,MK Phone Samsung A10S Saf-Data v1,60,"4,499",365,"26,399",0.11601354796644928,0.916
84,MK Phone Samsung A10S Grade B v4,60,"2,499",235,"16,599",0.13257828947689781,0.901
85,MK Phone Samsung A10S Grade B v2,60,"3,299",225,"16,799",0.17156344013150968,0.948
86,MK Phone Samsung A10S Grade A v3,60,"2,999",265,"18,899",0.0990028791752915,0.943
87,MK Phone Samsung A10S Grade A v1,60,"3,799",250,"18,799",0.031226395021011755,0.968
88,MK Phone Samsung A10S Dual-Sim v16,60,"4,499",365,"26,399",0,0.898
89,MK Phone Samsung A04S 4/64 v2 HRA,85,"4,899",365,"35,924",0.14183531124518997,0.932
90,MK Phone Samsung A04S 4/64 v1 HRA,75,"8,549",365,"35,924",0.05663244146317965,0.992
91,MK Phone Samsung A04S 4/64 v1,85,"4,899",365,"35,924",0.12187883440341495,0.946
92,MK Phone Samsung A04S 4/64 Insurance Pilot v4,105,"4,499",365,"42,824",0.12264418277568134,0.999
93,MK Phone Samsung A04S 4/64 Insurance Pilot v2,105,"4,999",365,"43,324",0.15598935343898257,0.970
