Payment Plan Name,Deposit to Price Ratio,Daily rate,LLR
MK +Phone Nokia 2.4 v9,0.0159,2400,0.3087
MK +Phone Nokia C01 Plus Iris Red-Con v7,0.0307,2000,0.0034
MK +Phone Nokia 2.4 v10,0.0272,2200,0.2872
MK +Phone Samsung A03 Core 2/32 MTN v3,0.0351,2200,0.0025
MK +Phone Samsung A03 3/32 MTN v7,0.0382,2000,0.1753
MK +Phone Samsung A03 3/32 Red-Con MTN v6,0.0382,2000,0.2136
MK Phone Samsung A01 DSR Demo v5,0.0476,2000,0.0545
MK +Phone Nokia C21 2/32 Red-Con MTN v4,0.0507,2000,0.1896
MK +Phone Nokia C21 2/32 Red-Con V5,0.0484,2100,0.4904
MK +Phone Samsung A02 3/64 v1,0.039,2400,0.4186
MK Phone Nokia 1.4 Demo Red-Con v1,0.0556,2000,0.4038
MK +Phone Nokia 2.4 v8,0.0444,2200,0.1341
MK Phone Samsung A03 Core 2/32 Red-Con MTN v7 Demo,0.0809,1400,0.1549
MK Phone Samsung A02 3/64 Demo MTN v1,0.0608,1900,0.7876
MK +Phone Nokia C21 2/32 Red-Con MTN v16,0.0629,2000,0.1966
MK Phone Samsung A02S 3/32GB Demo v5,0.0629,2000,0.2246
MK +Phone Samsung A03 Core 2/32 MTN v22,0.0601,2100,0.0412
MK +Phone Samsung A03 Core 2/32 Red-Con MTN v21,0.0601,2100,0.1799
MK +Phone Samsung A03 4/64 MTN v5,0.053,2500,0.0317
MK +Phone Samsung A03 4/64 Red-Con MTN v6,0.053,2500,0.2472
MK +Phone Nokia 3.4 4/64 v8,0.0419,2800,0.2221
MK Phone Samsung A03 Core 2/32 Red-Con MTN Demo v10,0.0776,1600,0.2272
MK +Phone Samsung A10S v11,0.0513,2400,0.2225
MK +Phone Samsung A02s v4,0.0494,2500,0.0029
MK Phone Samsung A03 3/32 Red-Con MTN v4 Demo,0.0773,1700,0.4579
MK +Phone Nokia C21 2/32 Red-Con v17,0.0658,2100,0.1888
MK +Phone Samsung A02 3/64 v2,0.054,2200,0.2044
MK +Phone Samsung A02S v7,0.054,2200,0.1697
MK +Phone Samsung A03 Core 2/32 Red-Con v23,0.063,2200,0.1916
MK Phone Samsung A12 Demo v6,0.0559,2500,0.2374
MK Phone Samsung A02 2/32GB Demo v4,0.067,2100,0.0765
